date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:51	105903/105903	---M--	200	added ('OK')	image/jpeg	etag:%22f00c155526cb14c5c49948c9464d9bfd%22	https://cdn.b12.io/client_media/vHEtyVtR/c61d467c-fc80-11ee-b6bd-0242ac110002-13-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/c61d467c-fc80-11ee-b6bd-0242ac110002-13-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:52	606001/606001	---M--	200	added ('OK')	image/jpeg	etag:%22eb2f084a2a64e9a8e8ddc3ef579e6045%22	https://cdn.b12.io/client_media/vHEtyVtR/ec8d2ee6-fc83-11ee-a20b-0242ac110002-jpg-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/ec8d2ee6-fc83-11ee-a20b-0242ac110002-jpg-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:53%20GMT	http://bodhi-space-j5vd.b12sites.com/luxury-apartments	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/luxury-apartments	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:54	1963277/1963277	---M--	200	added ('OK')	image/png	etag:%2299c701887daa35896414df6671737e39%22	https://cdn.b12.io/client_media/vHEtyVtR/22473320-fc83-11ee-b29e-0242ac110002-png-regular_image.png	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/22473320-fc83-11ee-b29e-0242ac110002-png-regular_image.png	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:56	78394/78394	---M--	200	added ('OK')	image/jpeg	etag:%22350f79c8ff73ba80a480b66a970b8a4f%22	https://cdn.b12.io/client_media/vHEtyVtR/c637a436-fc80-11ee-b6bd-0242ac110002-13-regular_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/c637a436-fc80-11ee-b6bd-0242ac110002-13-regular_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:56	232937/232937	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:20:55%20GMT	https://bodhi-space-j5vd.b12sites.com/luxury-apartments	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/luxury-apartments.html	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:57%20GMT	http://bodhi-space-j5vd.b12sites.com/villas-and-townhouses	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/villas-and-townhouses	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:59	233149/233149	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:20:59%20GMT	https://bodhi-space-j5vd.b12sites.com/villas-and-townhouses	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/villas-and-townhouses.html	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:59	205573/205573	---M--	200	added ('OK')	image/jpeg	etag:%22ca752d8b92af3827b39d4317a7afd78f%22	https://cdn.b12.io/client_media/vHEtyVtR/8f9e3f44-fc7f-11ee-a369-0242ac110002-jpg-regular_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/8f9e3f44-fc7f-11ee-a369-0242ac110002-jpg-regular_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:21:00%20GMT	http://bodhi-space-j5vd.b12sites.com/landscape-design	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/landscape-design	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:02	148175/148175	---M--	200	added ('OK')	image/jpeg	etag:%226eba2a42cc7b9fa516a9567596faff74%22	https://cdn.b12.io/client_media/vHEtyVtR/4b7cf2de-fc83-11ee-a9da-0242ac110002-jpg-regular_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/4b7cf2de-fc83-11ee-a9da-0242ac110002-jpg-regular_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:02	233205/233205	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:21:02%20GMT	https://bodhi-space-j5vd.b12sites.com/landscape-design	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/landscape-design.html	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:04	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:21:03%20GMT	http://bodhi-space-j5vd.b12sites.com/interior-design	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/interior-design	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:05	151589/151589	---M--	200	added ('OK')	image/jpeg	etag:%22367fa5544d9b13b748c023cc4dfafbd7%22	https://cdn.b12.io/client_media/vHEtyVtR/51c7a9f8-fce3-11ee-9f35-0242ac110002-jpg-regular_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/51c7a9f8-fce3-11ee-9f35-0242ac110002-jpg-regular_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:21:06%20GMT	http://bodhi-space-j5vd.b12sites.com/our-team	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/our-team	(from https://bodhi-space-j5vd.b12sites.com/index)
15:51:07	233098/233098	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:21:05%20GMT	https://bodhi-space-j5vd.b12sites.com/interior-design	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/interior-design.html	(from https://bodhi-space-j5vd.b12sites.com/index)
